Disease,DPR
Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome,188
Localized scleroderma,188
"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome",189
Currarino syndrome,189
Ectrodactyly-polydactyly syndrome,189
Gemignani syndrome,189
Drug-induced lupus erythematosus,189
Spinocerebellar ataxia with axonal neuropathy type 1,189
Autosomal dominant dopa-responsive dystonia,189
Deafness-lymphedema-leukemia syndrome,190
Severe hereditary thrombophilia due to congenital protein S deficiency,190
Autosomal recessive centronuclear myopathy,191
RIN2 syndrome,192
Focal facial dermal dysplasia type IV,192
Cernunnos-XLF deficiency,193
Arthrogryposis-like syndrome,193
Conductive deafness-ptosis-skeletal anomalies syndrome,193
Hyperinsulinism due to UCP2 deficiency,193
"Frontotemporal dementia, right temporal atrophy variant",193
Autosomal agammaglobulinemia,193
Duodenal neuroendocrine tumor,193
Cutis laxa-Marfanoid syndrome,194
Bowen-Conradi syndrome,194
Pentalogy of Cantrell,194
Ondine syndrome,194
Humero-radial synostosis,194
Glycine encephalopathy,194
Foodborne botulism,194
Dystonia-aphonia syndrome,194
Quinquaud's folliculitis decalvans,194
Acquired partial lipodystrophy,194
Pili torti-onychodysplasia syndrome,195
Distal monosomy 19p13.3,195
Spinocerebellar ataxia type 25,195
Autosomal recessive spastic paraplegia type 21,195
Pearson syndrome,196
Abruzzo-Erickson syndrome,196
Mandibuloacral dysplasia,196
Autoimmune pulmonary alveolar proteinosis,196
Achondrogenesis type 2,196
Functioning gonadotropic adenoma,196
Steroid-responsive encephalopathy associated with autoimmune thyroiditis,196
Brachydactyly type A5,196
15q11q13 microduplication syndrome,197
Dysspondyloenchondromatosis,197
Autosomal dominant spastic paraplegia type 19,197
Xanthoma disseminatum,198
Vitamin B12-unresponsive methylmalonic acidemia type mut0,198
"Ehlers-Danlos syndrome, kyphoscoliotic and deafness type",198
3-methylglutaconic aciduria type 3,198
Posterior cortical atrophy,198
Alpha-N-acetylgalactosaminidase deficiency type 3,198
Autosomal recessive spastic paraplegia type 35,199
Extrasystoles-short stature-hyperpigmentation-microcephaly syndrome,199
Pancreatic hypoplasia-diabetes-congenital heart disease syndrome,199
Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,199
GRFoma,199
VIPoma,199
Paroxysmal exertion-induced dyskinesia,199
Familial cerebral saccular aneurysm,200
Congenital myasthenic syndromes with glycosylation defect,200
Congenital non-bullous ichthyosiform erythroderma,200
"Junctional epidermolysis bullosa, generalized intermediate",200
Autosomal dominant spastic paraplegia type 38,201
Congenital fiber-type disproportion myopathy,201
Dermoodontodysplasia,201
Mutilating hereditary sensory neuropathy with spastic paraplegia,201
Isolated hemihyperplasia,201
Sydenham chorea,201
Pituitary stalk interruption syndrome,201
Autosomal dominant spastic paraplegia type 12,201
Haddad syndrome,201
Carney triad,202
Richards-Rundle syndrome,202
Roussy-Levy syndrome,202
ATP13A2-related juvenile neuronal ceroid lipofuscinosis,202
Autosomal recessive spastic paraplegia type 48,202
Severe combined immunodeficiency due to adenosine deaminase deficiency,202
Epidermolysis bullosa simplex due to plakophilin deficiency,203
Hand-foot-genital syndrome,203
Usher syndrome type 1,203
Wild type ATTR amyloidosis,203
Trisomy 5p,204
Curry-Jones syndrome,204
Fetal trimethadione syndrome,204
Holoprosencephaly-craniosynostosis syndrome,204
Otofaciocervical syndrome,204
Autosomal dominant hyperinsulinism due to Kir6.2 deficiency,204
Autosomal dominant hyperinsulinism due to SUR1 deficiency,204
Autosomal dominant striatal neurodegeneration,204
Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome,205
Inclusion body myositis,205
Autosomal recessive palmoplantar keratoderma and congenital alopecia,205
Thin ribs-tubular bones-dysmorphism syndrome,205
Juvenile primary lateral sclerosis,205
McDonough syndrome,205
"Endosteal hyperostosis, Worth type",205
Microcephaly-cardiac defect-lung malsegmentation syndrome,205
Piebald trait-neurologic defects syndrome,205
Solar urticaria,205
Sudden infant death-dysgenesis of the testes syndrome,206
Dopa-responsive dystonia,206
Axenfeld-Rieger syndrome,206
Maternal uniparental disomy of chromosome 9,206
Autosomal recessive Emery-Dreifuss muscular dystrophy,206
Syndactyly-telecanthus-anogenital and renal malformations syndrome,207
Sea-blue histiocytosis,207
"46,XX disorder of sex development-anorectal anomalies syndrome",207
Spasmus nutans,207
Choroideremia-hypopituitarism syndrome,207
Goldberg-Shprintzen megacolon syndrome,207
Enteric anendocrinosis,207
Multifocal muscular fibrosis-obstructed vessels syndrome,208
Non-progressive cerebellar ataxia with intellectual disability,208
Infantile-onset ascending hereditary spastic paralysis,208
Diffuse cutaneous mastocytosis,208
Ocular albinism with late-onset sensorineural deafness,209
Spinocerebellar degeneration-corneal dystrophy syndrome,209
Adult-onset autosomal recessive cerebellar ataxia,209
Craniolenticulosutural dysplasia,209
Keutel syndrome,209
Monosomy 13q34,209
Syndactyly type 2,209
Aminopterin/methotrexate embryofetopathy,210
Acromelic frontonasal dysplasia,210
Congenital alveolar capillary dysplasia,210
Mu-heavy chain disease,210
Toluene embryopathy,211
Dracunculiasis,211
Autosomal recessive cutis laxa type 1,211
Meckel syndrome,212
Maple syrup urine disease,212
Cataract-intellectual disability-anal atresia-urinary defects syndrome,212
Lethal Kniest-like dysplasia,212
Proteus-like syndrome,212
KCNQ2-related epileptic encephalopathy,212
Psychogenic movement disorders,212
Autosomal recessive spastic paraplegia type 78,212
Thoracic outlet syndrome,212
Adult-onset autosomal dominant leukodystrophy,212
Mevalonic aciduria,213
VPS11-related autosomal recessive hypomyelinating leukodystrophy,213
Desmoplastic small round cell tumor,213
Postaxial acrofacial dysostosis,214
Adult-onset dystonia-parkinsonism,214
Donnai-Barrow syndrome,214
17q12 microdeletion syndrome,214
Short stature-wormian bones-dextrocardia syndrome,214
Aplasia cutis congenita,214
Progressive encephalopathy with leukodystrophy due to DECR deficiency,214
Hyperparathyroidism-jaw tumor syndrome,214
Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome,215
Jackson-Weiss syndrome,215
14q12 microdeletion syndrome,215
Multiple synostoses syndrome,215
Familial congenital mirror movements,215
Multiple myeloma,215
Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency,215
Holocarboxylase synthetase deficiency,215
Glucagonoma,215
Hydrocephalus with stenosis of the aqueduct of Sylvius,216
Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome,216
Femur-fibula-ulna complex,216
Pineocytoma,216
Autosomal recessive cerebellar ataxia-pyramidal signs-nystagmus-oculomotor apraxia syndrome,216
Laryngotracheoesophageal cleft type 4,216
Cushing syndrome due to ectopic ACTH secretion,216
Palmoplantar keratoderma-spastic paralysis syndrome,217
Papillary tumor of the pineal region,217
Weill-Marchesani syndrome,217
Viral hemorrhagic fever,217
Systemic capillary leak syndrome,217
SCARF syndrome,218
Hyperinsulinism due to HNF1A deficiency,218
Proximal myopathy with extrapyramidal signs,218
Parathyroid carcinoma,218
Reticular dysgenesis,218
Argininosuccinic aciduria,219
15q13.3 microdeletion syndrome,219
Endomyocardial fibroelastosis,219
Severe generalized recessive dystrophic epidermolysis bullosa,219
Duchenne muscular dystrophy,219
Beemer-Ertbruggen syndrome,220
Distal trisomy 18q,221
X-linked centronuclear myopathy,221
Hypoglossia-hypodactyly syndrome,221
Pseudohypoparathyroidism type 2,221
L1 syndrome,222
Benign Samaritan congenital myopathy,222
Spinocerebellar ataxia type 37,222
Porphyria variegata,222
Isolated ectopia lentis,223
Ataxia-tapetoretinal degeneration syndrome,223
Dentin dysplasia,223
Spondylo-ocular syndrome,223
Lassa fever,223
Fragile X syndrome,224
Charlie M syndrome,224
Tremor-nystagmus-duodenal ulcer syndrome,224
Childhood-onset nemaline myopathy,225
Cerebellar hypoplasia-tapetoretinal degeneration syndrome,225
Congenital amegakaryocytic thrombocytopenia,225
Wilson-Turner syndrome,225
"Junctional epidermolysis bullosa, non-Herlitz type",225
Charcot-Marie-Tooth disease type 1B,225
X-linked spastic paraplegia type 16,225
Central bilateral macrogyria,226
Aplasia cutis congenita-intestinal lymphangiectasia syndrome,226
"Acromesomelic dysplasia, Hunter-Thompson type",226
Progressive pseudorheumatoid arthropathy of childhood,226
X-linked retinal dysplasia,226
Spastic paraplegia-facial-cutaneous lesions syndrome,226
Atypical pantothenate kinase-associated neurodegeneration,226
Severe X-linked mitochondrial encephalomyopathy,226
Congenital bile acid synthesis defect type 4,226
Centrifugal lipodystrophy,226
Spinocerebellar ataxia type 18,226
Ocular albinism,227
Lhermitte-Duclos disease,227
Spondylometaphyseal dysplasia-cone-rod dystrophy syndrome,227
Alport syndrome,228
Familial cerebral cavernous malformation,228
Familial Alzheimer-like prion disease,229
Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome,229
Frontorhiny,229
Dissecting cellulitis of the scalp,229
Myotonia fluctuans,229
Spinocerebellar ataxia type 6,229
Book syndrome,230
Perlman syndrome,230
X-linked Charcot-Marie-Tooth disease type 4,230
Glycogen storage disease due to glucose-6-phosphatase deficiency,231
Atkin-Flaitz syndrome,231
Piebaldism,231
Ventricular extrasystoles with syncopal episodes-perodactyly-Robin sequence syndrome,231
"GM2 gangliosidosis, AB variant",231
Campomelic dysplasia,232
Madras motor neuron disease,232
Rosai-Dorfman disease,232
Isotretinoin syndrome,232
Lateral meningocele syndrome,232
Hemihyperplasia-multiple lipomatosis syndrome,232
Mercury poisoning,232
Reynolds syndrome,232
Thyrocerebrorenal syndrome,233
Autosomal recessive hypohidrotic ectodermal dysplasia,233
Pituitary apoplexy,233
Typical nemaline myopathy,234
Ataxia-pancytopenia syndrome,234
Lysosomal acid lipase deficiency,234
Deafness-epiphyseal dysplasia-short stature syndrome,234
Spastic paraplegia type 2,234
Leprechaunism,235
Seckel syndrome,235
Radio-renal syndrome,235
"Deaf blind hypopigmentation syndrome, Yemenite type",235
Rothmund-Thomson syndrome type 2,235
Centronuclear myopathy,235
"X-linked intellectual disability, Stevenson type",235
Thymic tumor,235
Primary sclerosing cholangitis,236
PHAVER syndrome,236
Autosomal recessive limb-girdle muscular dystrophy type 2L,236
Pituitary carcinoma,236
Criss-cross heart,236
Emery-Dreifuss muscular dystrophy,237
Caudal regression sequence,237
Osteosarcoma,237
1q44 microdeletion syndrome,237
Spinocerebellar ataxia type 42,237
Acquired epidermolysis bullosa,237
Autosomal dominant Emery-Dreifuss muscular dystrophy,237
X-linked Emery-Dreifuss muscular dystrophy,237
Distal trisomy 15q,238
Genitopatellar syndrome,238
Oculocutaneous albinism,239
AREDYLD syndrome,239
Tetraamelia-multiple malformations syndrome,239
Pfeiffer syndrome type 2,239
Aphalangy-syndactyly-microcephaly syndrome,240
Feingold syndrome,240
2q23.1 microdeletion syndrome,240
Severe intellectual disability-hypotonia-strabismus-coarse face-planovalgus syndrome,240
Alpha-thalassemia-intellectual disability syndrome linked to chromosome 16,240
Coats disease,241
Hyperinsulinism due to HNF4A deficiency,241
Autosomal recessive spastic paraplegia type 44,241
Duane anomaly-myopathy-scoliosis syndrome,241
Caffey disease,242
Dubin-Johnson syndrome,242
Ring chromosome 22 syndrome,242
Autosomal dominant optic atrophy plus syndrome,242
Acrodysostosis with multiple hormone resistance,242
Carcinoma of esophagus,242
Deafness-hypogonadism syndrome,242
Dentatorubral pallidoluysian atrophy,243
Auriculocondylar syndrome,243
"46,XY partial gonadal dysgenesis",243
Noonan syndrome-like disorder with loose anagen hair,243
Mietens syndrome,243
Muscular dystrophy-white matter spongiosis syndrome,244
Facial dysmorphism-anorexia-cachexia-eye and skin anomalies syndrome,244
Arnold-Chiari malformation type I,244
Achondrogenesis type 1B,244
Autosomal dominant spastic paraplegia type 29,244
"Ehlers-Danlos syndrome, spondylocheirodysplastic type",245
Intellectual disability-hyperkinetic movement-truncal ataxia syndrome,245
X-linked Charcot-Marie-Tooth disease type 2,245
Hypomandibular faciocranial dysostosis,246
"Ectodermal dysplasia, trichoodontoonychial type",246
Hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome,246
COG4-CDG,246
Idiopathic pulmonary arterial hypertension,246
Muscular pseudohypertrophy-hypothyroidism syndrome,246
Rift valley fever,246
"Acrofacial dysostosis, Weyers type",247
Amelocerebrohypohidrotic syndrome,247
Encephalopathy due to prosaposin deficiency,247
Coxoauricular syndrome,247
Holoprosencephaly-postaxial polydactyly syndrome,247
12q14 microdeletion syndrome,247
Prolactinoma,248
Thyrotoxic periodic paralysis,248
DEND syndrome,248
X-linked Charcot-Marie-Tooth disease type 3,248
Familial multiple lipomatosis,249
14q22q23 microdeletion syndrome,249
Symphalangism with multiple anomalies of hands and feet,249
Hirschsprung disease-ganglioneuroblastoma syndrome,249
Spastic paraplegia type 7,249
"Spondyloepimetaphyseal dysplasia, aggrecan type",250
IVIC syndrome,250
XK aprosencephaly syndrome,250
Apolipoprotein A-I deficiency,250
"Epidermolysis bullosa simplex, generalized intermediate",250
Craniosynostosis-anal anomalies-porokeratosis syndrome,250
Familial paroxysmal ataxia,251
Acrootoocular syndrome,251
Loeys-Dietz syndrome,251
Familial thrombocytosis,251
X-linked intellectual disability-hypotonia-facial dysmorphism-aggressive behavior syndrome,251
Maffucci syndrome,252
Craniosynostosis-hydrocephalus-Arnold-Chiari malformation type I-radioulnar synostosis syndrome,252
Hereditary sensory and autonomic neuropathy type 4,252
Thumb stiffness-brachydactyly-intellectual disability syndrome,252
Cerebrofaciothoracic dysplasia,252
Deafness-craniofacial syndrome,252
Reactive arthritis,252
6-pyruvoyl-tetrahydropterin synthase deficiency,253
Odontomicronychial dysplasia,253
"Familial partial lipodystrophy, Dunnigan type",253
Bardet-Biedl syndrome,253
Striate palmoplantar keratoderma,253
Autosomal dominant popliteal pterygium syndrome,254
Familial isolated hypoparathyroidism,254
Char syndrome,254
Auriculoosteodysplasia,255
"Mesomelic dysplasia, Kantaputra type",255
ABetaL34V amyloidosis,255
Spinocerebellar ataxia type 21,255
Neuralgic amyotrophy,256
MEDNIK syndrome,256
Hypogonadotropic hypogonadism-retinitis pigmentosa syndrome,256
Renal coloboma syndrome,256
Isolated sedoheptulokinase deficiency,256
Babesiosis,256
Auricular abnormalities-cleft lip with or without cleft palate-ocular abnormalities syndrome,256
Brain malformation-congenital heart disease-postaxial polydactyly syndrome,256
X-linked creatine transporter deficiency,256
Chylomicron retention disease,257
Cardiomyopathy-cataract-hip spine disease syndrome,257
Hypodontia-dysplasia of nails syndrome,257
IRIDA syndrome,257
Ebola hemorrhagic fever,257
Isotretinoin-like syndrome,258
Infantile dystonia-parkinsonism,258
Childhood-onset spasticity with hyperglycinemia,259
Microlissencephaly-micromelia syndrome,259
"Cerebellar ataxia, Cayman type",259
Autosomal recessive spastic paraplegia type 67,260
Lethal ataxia with deafness and optic atrophy,261
"Acrofacial dysostosis, Rodriguez type",261
Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,261
Phakomatosis pigmentovascularis,261
Autosomal recessive spastic paraplegia type 9B,261
Lambert-Eaton myasthenic syndrome,261
Pfeiffer syndrome type 3,261
Syndromic X-linked intellectual disability due to JARID1C mutation,261
Machado-Joseph disease type 3,262
Multiminicore myopathy,263
De Barsy syndrome,263
Lipoid proteinosis,263
3-methylglutaconic aciduria type 4,263
Mucopolysaccharidosis type 7,264
Neonatal severe primary hyperparathyroidism,264
Mosaic trisomy 14,264
Ichthyosis-intellectual disability-dwarfism-renal impairment syndrome,264
Common variable immunodeficiency,264
Homocystinuria without methylmalonic aciduria,264
Neonatal Marfan syndrome,264
Osteopathia striata-pigmentary dermopathy-white forelock syndrome,265
Microcephalic primordial dwarfism due to ZNF335 deficiency,265
Schizencephaly,266
N syndrome,266
Classic pantothenate kinase-associated neurodegeneration,266
Isolated plagiocephaly,266
Autosomal recessive cerebellar ataxia-saccadic intrusion syndrome,266
Mullerian duct anomalies-limb anomalies syndrome,267
Phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome,267
Typhoid,267
Spinocerebellar ataxia type 13,267
Secondary polycythemia,267
2q32q33 microdeletion syndrome,268
Mullerian derivatives-lymphangiectasia-polydactyly syndrome,268
Anonychia with flexural pigmentation,268
Syndromic recessive X-linked ichthyosis,269
"Spondylometaphyseal dysplasia, Sedaghatian type",269
Primary hepatic neuroendocrine carcinoma,269
Distal monosomy 10p,270
Usher syndrome type 2,270
Fried syndrome,270
Amyotrophic lateral sclerosis,271
Carey-Fineman-Ziter  syndrome,271
Frontotemporal dementia with motor neuron disease,271
Liposarcoma,271
Edinburgh malformation syndrome,272
Gangliocytoma,272
Pelvis-shoulder dysplasia,272
"ABeta amyloidosis, Iowa type",272
Congenital primary megaureter,272
Corpus callosum agenesis-intellectual disability-coloboma-micrognathia syndrome,272
Paroxysmal nocturnal hemoglobinuria,273
McKusick-Kaufman syndrome,273
DDOST-CDG,273
Pseudopelade of Brocq,273
Fetal Gaucher disease,273
Legg-Calve-Perthes disease,274
Desbuquois syndrome,274
Schneckenbecken dysplasia,274
Tetragametic chimerism,275
Foix-Chavany-Marie syndrome,275
Autosomal recessive distal osteolysis syndrome,275
Autosomal dominant hypohidrotic ectodermal dysplasia,275
Congenital bile acid synthesis defect type 1,276
Porphyria due to ALA dehydratase deficiency,276
Progressive non-fluent aphasia,276
Maternal uniparental disomy of chromosome X,277
Thalidomide embryopathy,277
Hemorrhagic fever-renal syndrome,277
Potocki-Shaffer syndrome,277
Atypical teratoid rhabdoid tumor,277
Blepharonasofacial malformation syndrome,278
Shoulder and girdle defects-familial intellectual disability syndrome,278
Insulin-resistance syndrome type B,278
X-linked microcephaly-growth retardation-prognathism-cryptorchidism syndrome,278
Lichen planopilaris,278
Monosomy 22,278
NARP syndrome,279
Familial Mediterranean fever,279
X-linked intellectual disability-cerebellar hypoplasia syndrome,279
Primary hyperoxaluria type 3,279
"ABeta amyloidosis, Dutch type",279
Infantile onset spinocerebellar ataxia,280
Harlequin ichthyosis,280
Progressive osseous heteroplasia,280
Autosomal recessive spastic paraplegia type 11,280
Non-histaminic angioedema,280
Gaucher disease type 2,280
"Progressive epilepsy-intellectual disability syndrome, Finnish type",281
Weaver syndrome,281
Rabies,281
Short-limb skeletal dysplasia with severe combined immunodeficiency,281
Bartsocas-Papas syndrome,281
Short stature-valvular heart disease-characteristic facies syndrome,281
Severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome,281
Oculocutaneous albinism type 2,281
Oculocutaneous albinism type 1A,281
Isolated optic nerve hypoplasia/aplasia,282
Hyperimmunoglobulinemia D with periodic fever,282
Late-onset isolated ACTH deficiency,283
FLOTCH syndrome,283
"Autoimmune hemolytic anemia, cold type",284
Spinocerebellar ataxia type 38,284
Inherited epidermolysis bullosa,284
Progressive supranuclear palsy,285
Giant axonal neuropathy,285
Bonnemann-Meinecke-Reich syndrome,285
Vitamin B12-unresponsive methylmalonic acidemia,286
Hypertrichosis lanuginosa congenita,286
Ramon syndrome,286
Pyogenic arthritis-pyoderma gangrenosum-acne syndrome,286
Anophthalmia/microphthalmia-esophageal atresia syndrome,286
Aneurysm or dilatation of ascending aorta,286
Ermine phenotype,287
Myasthenia gravis,287
Ehlers-Danlos syndrome due to tenascin-X deficiency,287
Craniometaphyseal dysplasia,288
Machado-Joseph disease type 1,288
Machado-Joseph disease type 2,288
Hypogonadotropic hypogonadism-severe microcephaly-sensorineural hearing loss-dysmorphism syndrome,288
Fragile X-associated tremor/ataxia syndrome,288
Prominent glabella-microcephaly-hypogenitalism syndrome,289
Ankylosing vertebral hyperostosis with tylosis,289
Xp21 microdeletion syndrome,289
Severe intellectual disability and progressive spastic paraplegia,289
Hypogonadism-mitral valve prolapse-intellectual disability syndrome,290
Vogt-Koyanagi-Harada disease,290
Rhabdoid tumor,290
"Recessive dystrophic epidermolysis bullosa, generalized intermediate",290
Gomez-Lopez-Hernandez syndrome,291
Harrod syndrome,291
Deafness-small bowel diverticulosis-neuropathy syndrome,291
Autosomal dominant spondylocostal dysostosis,291
Thymoma,291
Waardenburg syndrome type 2,292
"Hypertrichotic osteochondrodysplasia, Cantu type",292
Thoracic dysplasia-hydrocephalus syndrome,292
1q21.1 microduplication syndrome,292
Infantile spasms-broad thumbs syndrome,293
Leukoencephalopathy-metaphyseal chondrodysplasia syndrome,293
Spinocerebellar ataxia type 28,293
Axial spondylometaphyseal dysplasia,294
Distal monosomy 3p,294
Epilepsy-telangiectasia syndrome,294
Otoonychoperoneal syndrome,294
X-linked Charcot-Marie-Tooth disease type 5,294
Infantile-onset X-linked spinal muscular atrophy,296
Pseudohypoaldosteronism type 2,296
Autosomal recessive limb-girdle muscular dystrophy type 2T,296
Addison disease,296
Autoimmune polyendocrinopathy type 1,297
5q35 microduplication syndrome,297
Severe neurodegenerative syndrome with lipodystrophy,297
Adiposis dolorosa,297
Branchiogenic deafness syndrome,297
Floating-Harbor syndrome,298
Malakoplakia,298
Manganese poisoning,298
Encephalitis lethargica,298
19q13.11 microdeletion syndrome,299
MERRF,300
Corpus callosum agenesis-neuronopathy syndrome,300
Prune belly syndrome,300
Sporadic adult-onset ataxia of unknown etiology,300
Early-onset Lafora body disease,300
Fraser syndrome,301
Microphthalmia with brain and digit anomalies,301
"Dyssegmental dysplasia, Silverman-Handmaker type",301
Crigler-Najjar syndrome type 1,301
Congenital intrauterine infection-like syndrome,302
"Acrofacial dysostosis, Palagonia type",302
Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome,303
17p11.2 microduplication syndrome,303
Dyschondrosteosis-nephritis syndrome,303
Kyphomelic dysplasia,303
Porencephaly,303
Leber congenital amaurosis,303
Combined immunodeficiency-enteropathy spectrum,303
Keipert syndrome,304
Microform holoprosencephaly,304
MALT lymphoma,304
Primary intestinal lymphangiectasia,304
Ascher syndrome,305
3MC syndrome,305
Congenital cataracts-facial dysmorphism-neuropathy syndrome,305
Hereditary coproporphyria,305
Hereditary continuous muscle fiber activity,306
Bilateral striopallidodentate calcinosis,306
Pelviscapular dysplasia,306
Cataract-ataxia-deafness syndrome,307
Crisponi syndrome,307
6q16 deletion syndrome,308
Ptosis-upper ocular movement limitation-absence of lacrimal punctum syndrome,308
Isolated glycerol kinase deficiency,309
Multiple sclerosis-ichthyosis-factor VIII deficiency syndrome,309
Monosomy 5p,310
Crigler-Najjar syndrome,310
Paternal uniparental disomy of chromosome 1,310
Microcephaly-cervical spine fusion anomalies syndrome,310
Camptodactyly-joint contractures-facial skeletal defects syndrome,311
Tremor-ataxia-central hypomyelination syndrome,311
Severe Canavan disease,312
Xp22.13p22.2 duplication syndrome,312
Autosomal recessive spastic paraplegia type 71,312
Non-progressive predominantly posterior cavitating leukoencephalopathy with peripheral neuropathy,312
Indolent systemic mastocytosis,312
Uveal coloboma-cleft lip and palate-intellectual disability,313
"Hidrotic ectodermal dysplasia, Christianson-Fourie type",313
Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome,313
Idiopathic and/or familial pulmonary arterial hypertension,313
Spontaneous periodic hypothermia,313
Oromandibular dystonia,313
Aniridia-cerebellar ataxia-intellectual disability syndrome,315
Oxoglutaric aciduria,315
"Hypertelorism, Teebi type",315
Thoracomelic dysplasia,315
8p11.2 deletion syndrome,315
Autosomal recessive ataxia due to ubiquinone deficiency,316
"Oculocerebrofacial syndrome, Kaufman type",316
Microcephaly-cardiomyopathy syndrome,316
3-methylcrotonyl-CoA carboxylase deficiency,316
Burkitt lymphoma,316
Infantile neuronal ceroid lipofuscinosis,316
Acute adrenal insufficiency,316
Ataxia-deafness-intellectual disability syndrome,317
"Blepharophimosis-intellectual disability syndrome, Ohdo type",317
Autosomal semi-dominant severe lipodystrophic laminopathy,317
WAGR syndrome,318
Good syndrome,318
Multiple pterygium-malignant hyperthermia syndrome,318
Megacystis-microcolon-intestinal hypoperistalsis syndrome,318
Frontonasal dysplasia-alopecia-genital anomalies syndrome,318
Aortic arch anomaly-facial dysmorphism-intellectual disability syndrome,319
Familial melanoma,319
Lymphedema-distichiasis syndrome,319
Autosomal recessive spastic paraplegia type 76,320
Toxic epidermal necrolysis,321
Potassium-aggravated myotonia,322
Chondrodysplasia-disorder of sex development syndrome,322
Xq12-q13.3 duplication syndrome,322
"Short rib-polydactyly syndrome, Verma-Naumoff type",322
Myotonia permanens,322
Beta-mercaptolactate cysteine disulfiduria,323
Ophthalmomandibulomelic dysplasia,323
"Autosomal recessive cutis laxa type 2, classic type",323
X small rings,323
"Intellectual disability, Buenos-Aires type",324
Ulbright-Hodes syndrome,324
Odontochondrodysplasia,325
Juvenile Paget disease,325
Ruvalcaba syndrome,325
Congenital myasthenic syndrome,326
Pituitary dermoid and epidermoid cysts,326
Presynaptic congenital myasthenic syndromes,326
Kennedy disease,327
Laurence-Moon syndrome,327
"Blepharophimosis-intellectual disability syndrome, SBBYS type",327
MEHMO syndrome,327
Eosinophilic granuloma,327
"Metachromatic leukodystrophy, late infantile form",328
Autosomal recessive spastic paraplegia type 70,328
X-linked intellectual disability-hypogammaglobulinemia-progressive neurological deterioration syndrome,328
Fryns syndrome,329
Crossed polysyndactyly,329
Microtriplication 11q24.1,329
"Metachromatic leukodystrophy, juvenile form",329
Autosomal recessive spastic paraplegia type 58,329
Mastocytosis,329
Severe combined immunodeficiency,330
3M syndrome,330
Subaortic stenosis-short stature syndrome,330
Aceruloplasminemia,330
17q12 microduplication syndrome,331
"Renal agenesis, bilateral",331
Filippi syndrome,331
Ligneous conjunctivitis,331
Proximal spinal muscular atrophy,332
Craniosynostosis-fibular aplasia syndrome,332
Velo-facial-skeletal syndrome,332
Otomandibular syndrome,333
Ring chromosome Y syndrome,333
Symptomatic form of hemochromatosis type 1,333
Relapsing polychondritis,333
Branchiootic syndrome,333
Mantle cell lymphoma,333
Ravine syndrome,333
Abetalipoproteinemia,334
Pili torti,335
Infant botulism,336
Primary biliary cholangitis,336
Oculocutaneous albinism type 4,336
Spinocerebellar ataxia type 12,336
Autosomal recessive spastic paraplegia type 55,337
Trichorhinophalangeal syndrome type 1 and 3,337
"Spondyloepiphyseal dysplasia, Cantu type",338
Distal monosomy 9p,338
Triple A syndrome,338
Holzgreve syndrome,338
Mayer-Rokitansky-Kuster-Hauser syndrome,338
Familial tumoral calcinosis,338
Frank-Ter Haar syndrome,339
Corpus callosum agenesis-abnormal genitalia syndrome,339
Hidrotic ectodermal dysplasia,340
Heart defects-limb shortening syndrome,340
Primary central nervous system vasculitis,340
Diethylstilbestrol syndrome,340
Isolated spina bifida,340
Autosomal recessive spastic paraplegia type 69,340
Gastrointestinal stromal tumor,340
Grant syndrome,341
"49,XXXYY syndrome",341
Triploidy,342
16p13.11 microdeletion syndrome,342
TEMPI syndrome,342
Intermediate nemaline myopathy,343
"46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency",343
Pituitary deficiency due to empty sella turcica syndrome,343
X-linked recessive ocular albinism,344
Trisomy 1q,344
Proximal symphalangism,344
Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency,344
Autosomal dominant spastic paraplegia type 9A,344
"Camptodactyly syndrome, Guadalajara type 1",347
Congenital muscular dystrophy due to LMNA mutation,348
Autosomal dominant spastic ataxia type 1,348
Familial male-limited precocious puberty,349
Postorgasmic illness syndrome,349
Rothmund-Thomson syndrome type 1,349
Congenital dyserythropoietic anemia type III,349
Febrile infection-related epilepsy syndrome,350
Mandibulofacial dysostosis-microcephaly syndrome,350
Oculocutaneous albinism type 1B,350
Maternal hyperthermia-induced birth defects,351
Spondyloperipheral dysplasia-short ulna syndrome,351
"Metachromatic leukodystrophy, adult form",351
RIDDLE syndrome,351
"Congenital muscular dystrophy, Ullrich type",351
Lathosterolosis,351
Antley-Bixler syndrome,352
Severe congenital nemaline myopathy,353
Sjogren-Larsson syndrome,353
