HPO,PDR
Decreased CSF biopterin level,97
Abnormal CSF biopterin level,97
Neoplasm of the adrenal medulla,97
Neoplasm of the adrenal gland,97
Parakeratosis,97
Posterior pituitary hypoplasia,97
Neoplasm of the posterior pituitary,97
Pituicytoma,97
Broad secondary alveolar ridge,97
Short tubular bones of the hand,97
Sprengel anomaly,97
Agenesis of cerebellar vermis,97
Periventricular cysts,97
Porokeratosis,97
Mandibular aplasia,97
Broad first metatarsal,97
Large tarsal bones,97
Popliteal pterygium,97
Abnormality of the femoral neck,97
Bifid femur,97
Narrow femoral neck,97
Acute otitis media,97
Otitis media,97
Ureteropelvic junction obstruction,97
Sialadenitis,97
Abnormal salivary gland morphology,97
Abnormality of the sublingual glands,97
Ranula,97
Swollen lip,97
Fused lips,97
Abnormal lip morphology,97
Abnormality of the nares,97
Supernumerary naris,97
Lip freckle,97
Arteriovenous malformation of the lip,97
Lip fissure,97
Violet lip discoloration,97
Vascular malformation of the lip,97
Hemangioma of the lip,97
Chapped lip,97
Venous malformation of the lip,97
Lip discoloration,97
Capillary malformation of the lip,97
Hepatosplenomegaly,97
Coma,98
Retinitis pigmentosa inversa,98
Retinal degeneration,98
Lattice retinal degeneration,98
Peripheral retinal degeneration,98
Peripheral cystoid retinal degeneration,98
Reticular pigmentary degeneration,98
Progressive cone degeneration,98
Aortic dissection,98
Vascular calcification,98
Abnormality of the periungual region,98
Decreased level of erythritol in CSF,98
Increased level of D-threitol in CSF,98
Increased urinary cortisol level,98
Edema,98
Genital edema,98
Hypoproteinemic edema,98
Peau d'orange,98
Neoplasm of the adrenal cortex,98
Parathyroid adenoma,98
Neoplasm of the stomach,98
Gastric leiomyosarcoma,98
Multiple gastric polyps,98
Ectopic posterior pituitary,98
Hyperpituitarism,98
Anterior pituitary dysgenesis,98
Ectopic anterior pituitary gland,98
Abnormal hypothalamus physiology,98
Straight clavicles,98
Abnormality of the clavicle,98
Medial widening of clavicles,98
Undulate clavicles,98
Osteolysis,98
Adermatoglyphia,98
Long coccyx,98
Abnormality of the coccyx,98
Protruding coccyx,98
Femoral aplasia,98
Aplasia/hypoplasia of the femur,98
Proximal femoral focal deficiency,98
Otitis media with effusion,98
Polymenorrhea,98
Abnormality of the menstrual cycle,98
Upper eyelid retraction,98
Microblepharia,98
Hypoplasia of the lower eyelids,98
Dermatochalasis,98
Aplasia/Hypoplasia of the eyelid,98
Lower eyelid retraction,98
Epiblepharon of lower lid,98
Epiblepharon,98
Accessory eyelid,98
Abnormal eyelid morphology,98
Hypoplasia of eyelid,98
Palpebral thickening,98
Hypoplasia of the upper eyelids,98
Collier's sign,98
Symblepharon,98
Epiblepharon of upper lid,98
Eyelid retraction,98
Absence of Stensen duct,98
Abnormality of the submandibular glands,98
Abnormal parotid gland morphology,98
Abnormality of lower lip,98
Broad columella,98
Pointed chin,98
Enlarged naris,98
Narrow naris,98
Asymmetry of the nares,98
Single naris,98
Eclabion,98
Aplasia of the uterus,98
Hypoplasia of the uterus,98
Parkinsonism,98
Urethral fistula,98
Pendulous urethral stricture,98
Fossa navicularis urethral stricture,98
Bulbar urethral stricture,98
Urethral stricture,98
Cerebral atrophy,99
Overfolding of the superior helices,99
Overfolded helix,99
Mucosal telangiectasiae,99
Decreased motor nerve conduction velocity,99
Megalocornea,99
Increased basal tear production,99
Decreased tear drainage,99
Lacrimal pump failure,99
Increased tear production,99
Reflex tearing,99
Epiphora,99
Polycoria,99
Oval pupil,99
Microcoria,99
Anisocoria,99
Abnormal pupil morphology,99
Abnormal pupil shape,99
Peripheral retinal atrophy,99
Tapetoretinal degeneration,99
Retinal atrophy,99
Geographic atrophy,99
Descending aortic dissection,99
Intracranial arterial calcification,99
Middle cerebral artery calcification,99
Tibial arterial calcification,99
Carotid artery calcification,99
Basilar artery calcification,99
Medial calcification of small arteries,99
Iliac arterial calcification,99
Femoral arterial calcification,99
Peripheral arterial calcification,99
Arterial calcification,99
Medial calcification of medium-sized arteries,99
Cerebral artery calcification,99
Vertebral artery calcification,99
Medial arterial calcification,99
Generalized arterial calcification,99
External carotid artery calcification,99
Lower extremity peripheral arterial calcification,99
Internal carotid artery calcification,99
Onycholysis of toenails,99
Edema of the dorsum of hands,99
Edema of the dorsum of feet,99
Generalized edema,99
Abnormal glomerular filtration rate,99
Hemolytic-uremic syndrome,99
Impaired urinary acidification,99
Isothenuria,99
Increased glomerular filtration rate,99
Abnormal renal physiology,99
Multiple lipomas,99
Zollinger-Ellison syndrome,99
Stomach cancer,99
Pituitary resistance to thyroid hormone,99
Hypothalamic luteinizing hormone-releasing hormone deficiency,99
Abnormal size of pituitary gland,99
Broad clavicles,99
Impotence,99
Crohn's disease,99
Gastrointestinal inflammation,99
Calcaneovalgus deformity,99
Abnormality of the calcaneus,99
Equinus calcaneus,99
Bipartite calcaneus,99
Caudal appendage,99
Prominent coccyx,99
Abnormality of hand joint mobility,99
Aplasia/Hypoplasia of the fibula,99
Lytic defects of radial diaphysis,99
Abnormality of radial diaphysis,99
Patchy sclerosis of radial diaphysis,99
Spurs of radial diaphysis,99
Broad radial diaphysis,99
Abnormality of the palpebral fissures,99
Nocturnal lagophthalmos,99
Hooded eyelid,99
Hooded lower eyelid,99
Paralytic lagophthalmos,99
Slanting of the palpebral fissure,99
S-shaped palpebral fissures,99
Hooded upper eyelid,99
Lagopthalmos,99
Abnormal shape of the palpebral fissure,99
Ablepharon,99
Cicatricial lagophthalmos,99
Aplasia of the parotid gland,99
Parotitis,99
Curved linear dimple below the lower lip,99
Short columella,99
Abnormal oral frenulum morphology,99
Vaginal fistula,99
Hypoglycemic coma,100
Keratoconus,100
Aplasia/Hypoplasia affecting the eye,100
Leukocoria,100
Persistent pupillary membrane,100
Lester's sign,100
Heterochromia iridis,100
Ascending aortic dissection,100
Medial calcification of large arteries,100
Paronychia,100
Reduced muscle carnitine level,100
Anasarca,100
Peripheral edema,100
Decreased urine output,100
Abnormality of renal excretion,100
Anuria,100
Decreased renal tubular phosphate excretion,100
Abnormal urine output,100
Impaired reabsorption of chloride,100
Abnormality of renal resorption,100
Impaired renal uric acid clearance,100
Increased renal tubular phosphate reabsorption,100
Polyuria,100
Fibroadenoma of the breast,100
Neoplasm of the larynx,100
Anterior pituitary agenesis,100
Lateral clavicle hook,100
Thin clavicles,100
Long clavicles,100
Proximal scleroderma,100
Scleroderma,100
Prominent calcaneus,100
Plantar pits,100
Prominent protruding coccyx,100
Dysplastic patella,100
Localized hirsutism,100
Lumbosacral hirsutism,100
Hirsutism,100
Euryblepharon,100
Chronic rhinitis due to narrow nasal airway,100
Chronic rhinitis,100
Purulent rhinitis,100
Calf muscle hypertrophy,100
Abnormality of pattern visual evoked potentials,101
Undetectable visual evoked potentials,101
Abnormal timing of pattern reversal visual evoked potentials,101
Abnormality of pattern onset/offset visual evoked potentials,101
Abnormal timing of pattern onset/offset visual evoked potentials,101
Abnormal amplitude of pattern reversal visual evoked potentials,101
Abnormal amplitude of pattern onset/offset visual evoked potentials,101
Asymmetrical distribution of pattern reversal visual evoked potentials,101
Abnormality of pattern reversal visual evoked potentials,101
Abnormality of visual evoked potentials,101
Anterior segment of eye aplasia,101
Aplasia/Hypoplasia affecting the uvea,101
Aplasia/Hypoplasia affecting the anterior segment of the eye,101
Hypoplasia of the ciliary body,101
Lens luxation,101
Ectopia lentis,101
Abnormality of color vision,101
Abnormal Hardy-Rand-Rittler plate test,101
Red desaturation,101
Color vision test abnormality,101
Abnormal Ishihara plate test,101
Patchy atrophy of the retinal pigment epithelium,101
Retinal pigment epithelial atrophy,101
Coronary artery calcification,101
Dilatation of the ventricular cavity,101
Reduced natural killer cell activity,101
Abnormal natural killer cell physiology,101
Abnormal lymphocyte physiology,101
Decreased lymphocyte proliferation in response to mitogen,101
Abnormal lymphocyte proliferation,101
Abnormal B cell proliferation,101
Hypoketotic hypoglycemia,101
Hypercalciuria,101
Decreased lymphocyte proliferation in response to anti-CD3,101
Abnormality of B cell physiology,101
Defective B cell activation,101
Abnormal lymphocyte apoptosis,101
Absent specific antibody response,101
Decreased lymphocyte apoptosis,101
Impaired Ig class switch recombination,101
Increased lymphocyte apoptosis,101
Impaired memory B cell generation,101
Defective B cell differentiation,101
Impaired renal concentrating ability,101
Decreased glomerular filtration rate,101
Adrenocortical carcinoma,101
Neoplasm of the ceruminal gland,101
Neoplasm of the outer ear,101
Laryngeal carcinoma,101
Small pituitary gland,101
Slender radius,101
Specific learning disability,101
Absent hand,101
Broad femoral neck,101
Calvarial skull defect,101
White hair,101
Abnormal renal morphology,101
Abnormality of the nephron,101
Perilobar nephrogenic rest,101
Extracapillary hypercellularity,101
Glomerular C3 deposition,101
Decreased renal parenchymal thickness,101
Abnormality of the renal pelvis,101
Abnormal renal corticomedullary differentiation,101
Bilateral renal atrophy,101
Lobular glomerulopathy,101
Renal fibrosis,101
Glomerulomegaly,101
Polycalycosis,101
Multiple glomerular cysts,101
Dilatation of the renal pelvis,101
Unilateral renal atrophy,101
Nephrogenic rest,101
Absence of renal corticomedullary differentiation,101
Abnormal glomerular capillary morphology,101
Renal cortical atrophy,101
Thickening of glomerular capillary wall,101
Abnormality of renal calyx morphology,101
Renal atrophy,101
Intralobar nephrogenic rest,101
Renal juxtaglomerular cell hypertrophy/hyperplasia,101
Reduced renal corticomedullary differentiation,101
Renal medullary pyramid hypoplasia,101
Perinephric fluid collection,101
Glomerular subendothelial electron-dense deposits,101
Abnormality of medullary pyramid morphology,101
Podocyte foot process effacement,101
Abnormal renal corpuscle morphology,101
Polygonal renal calices,101
Perirenal hematoma,101
Renal cortical necrosis,101
IgA deposition in the glomerulus,101
Abnormality of renal cortex morphology,101
Thickening of the glomerular basement membrane,101
Diffuse glomerular basement membrane lamellation,101
Abnormality of renal glomerulus morphology,101
Abnormality of the renal medulla,101
Abnormality of the renal collecting system,101
Abnormal podocyte morphology,101
Thin glomerular basement membrane,101
Abnormal morphology of Bowman capsule,101
Nephrosclerosis,101
Endocapillary hypercellularity,101
Decreased numbers of nephrons,101
Glomerular deposits,101
Abnormal size of the palpebral fissures,101
Almond-shaped palpebral fissure,101
Enlargement of parotid gland,101
Abnormality of upper lip,101
Duplication of the upper lip,101
Abnormality of platysma,101
Infertility,101
Frequent falls,101
"Urethral atresia, female",101
Generalized cerebral atrophy/hypoplasia,102
Scheuermann-like vertebral changes,102
Morbus Scheuermann,102
Abnormal timing of flash visual evoked potentials,102
Enlarged flash visual evoked potentials,102
Asymmetrical distribution of flash visual evoked potentials,102
Abnormal amplitude of flash visual evoked potentials,102
Abnormal flash visual evoked potentials,102
Ectopia pupillae,102
Central heterochromia,102
Fibrous cardiac diverticulum,102
Myocarditis,102
Neonatal hypoglycemia,102
Reduced antigen-specific T cell proliferation,102
Reduced delayed hypersensitivity,102
Abnormal CD25 upregulation upon TCR activation,102
Abnormal T cell proliferation,102
Decreased CD69 upregulation upon TCR activation,102
Abnormality of T cell physiology,102
Decreased CD25 upregulation upon TCR activation,102
Cutaneous anergy,102
Abnormal T cell activation,102
Abnormal delayed hypersensitivity skin test,102
Abnormal CD69 upregulation upon TCR activation,102
Oligoclonal T cell expansion,102
Esophageal squamous papilloma,102
Esophageal neoplasm,102
Thick nasal alae,102
Anterior pituitary hypoplasia,102
Parietal meningocele,102
Meningocele,102
Occipital meningocele,102
Lipomeningocele,102
Frontoethmoidal meningocele,102
Occipital myelomeningocele,102
Pyriform aperture stenosis,102
Bony paranasal bossing,102
Proboscis,102
Fullness of paranasal tissue,102
Slender nose,102
Abnormal nasal morphology,102
Productive cough,102
Whooping cough,102
Cough,102
Slender humerus,102
Turricephaly,102
Facial hirsutism,102
Renal malrotation,102
Axial malrotation of the kidney,102
Mesangial hypercellularity,102
Diffuse mesangial sclerosis,102
Hyperechogenic kidneys,102
Mesangial abnormality,102
Mesangiolysis,102
Cryptophthalmos,102
Absent nares,102
Abnormality of upper lip vermillion,102
Short upper lip,102
Absent cupid's bow,102
Low-to-normal blood pressure,103
Decreased diastolic blood pressure,103
Isolated diastolic hypotension,103
Decreased systolic blood pressure,103
Hypotension,103
Superior lens subluxation,103
Lens subluxation,103
Cone monochromacy,103
Monochromacy,103
Achromatopsia,103
Macular exudate,103
Abnormality of macular vasculature,103
Vitreomacular adhesion,103
Macular microaneurysm/hemorrhage,103
Vitreomacular traction,103
Macular thickening,103
Macular schisis,103
Abnormal macular morphology,103
Retinal dysplasia,103
Imperforate atrioventricular valve,103
Abnormal heart valve morphology,103
Abnormal atrioventricular valve morphology,103
Vascular neoplasm,103
Lack of T cell function,103
Leukemia,103
Barrett esophagus,103
Hemiplegia/hemiparesis,103
Hypothalamic gonadotropin-releasing hormone deficiency,103
Fused sternal ossification centers,103
Abnormal sternal ossification,103
Large sternal ossification centers,103
Decreased number of sternal ossification centers,103
Pear-shaped nose,103
Nonproductive cough,103
Triangular shaped proximal phalanx of the 2nd toe,103
Abnormality of the middle phalanx of the 2nd toe,103
Duplication of phalanx of the 4th toe,103
Bullet-shaped 3rd toe phalanx,103
Fibular deviation of the 4th toe,103
Duplication of the middle phalanx of the 2nd toe,103
Fibular deviation of toes,103
Partial duplication of the proximal phalanx of the 2nd toe,103
Curved middle phalanx of the 2nd toe,103
Complete duplication of the middle phalanx of the 3rd toe,103
Triangular shaped phalanges of the 3rd toe,103
Abnormality of toe,103
Duplication of the middle phalanx of the 3rd toe,103
Bullet-shaped middle phalanx of the 4th toe,103
Abnormality of the 3rd toe,103
Tibial deviation of the 4th toe,103
Complete duplication of the proximal phalanx of the 3rd toe,103
Duplication of the phalanges of the 2nd toe,103
Abnormality of toe proximal phalanx,103
Bullet-shaped proximal phalanx of the 4th toe,103
Bullet-shaped distal phalanx of the 3rd toe,103
Bullet-shaped middle phalanx of the 3rd toe,103
Complete duplication of the proximal phalanx of the 2nd toe,103
Deviation of toes,103
Duplication of the proximal phalanx of the 2nd toe,103
Curved 2nd toe phalanx,103
Tibial deviation of the 2nd toe,103
Curved middle toe phalanx,103
Curved middle phalanx of the 3rd toe,103
Medially deviated second toe,103
Metatarsal periosteal thickening,103
Partial duplication of the proximal phalanx of the 3rd toe,103
Abnormality of the middle phalanx of the 4th toe,103
Partial duplication of the middle phalanx of the 4th toe,103
Curved proximal phalanx of the 3rd toe,103
Complete duplication of the middle phalanx of the 2nd toe,103
Bullet-shaped toe phalanx,103
Partial duplication of the proximal phalanx of the 4th toe,103
Deviation of the 2nd toe,103
Bullet-shaped middle phalanx of the 2nd toe,103
Abnormality of the phalanges of the 4th toe,103
Ainhum,103
Tibial deviation of toes,103
Duplication of the proximal phalanx of the 3rd toe,103
Complete duplication of the middle phalanx of the 4th toe,103
Fibular deviation of the 2nd toe,103
Triangular shaped phalanges of the 2nd toe,103
Abnormality of phalanx of the 2nd toe,103
Bullet-shaped proximal toe phalanx,103
Triangular shaped middle phalanges of the toes,103
Curved proximal phalanx of the 2nd toe,103
Toe dactylitis,103
Partial duplication of the middle phalanx of the 3rd toe,103
Abnormality of the proximal phalanx of the 3rd toe,103
Duplication of phalanx of toe,103
Curved 3rd toe phalanx,103
Duplication of the middle phalanx of the 4th toe,103
Duplication of middle phalanx of toe,103
Duplication of proximal phalanx of toe,103
Triangular shaped proximal phalanges of the toes,103
Bullet-shaped 2nd toe phalanx,103
Abnormality of the proximal phalanx of the 4th toe,103
Partial duplication of the middle phalanx of the 2nd toe,103
Deviation of the 4th toe,103
Abnormality of the phalanges of the 3rd toe,103
Deviation of the 3rd toe,103
Complete duplication of the proximal phalanx of the 4th toe,103
Duplication of phalanx of the 3rd toe,103
Abnormality of the phalanges of the toes,103
Abnormality of the middle phalanx of the 3rd toe,103
Partial duplication of phalanx of the 2nd toe,103
Abnormality of the 4th toe,103
Duplication of the proximal phalanx of the 4th toe,103
Triangular shaped middle phalanx of the 2nd toe,103
Bullet-shaped proximal phalanx of the 3rd toe,103
Fibular deviation of the 3rd toe,103
Bullet-shaped proximal phalanx of the 2nd toe,103
Curved 4th toe phalanx,103
Bullet-shaped 4th toe phalanx,103
Bullet-shaped distal phalanx of the 4th toe,103
Curved proximal phalanx of the 4th toe,103
Widely spaced toes,103
Bullet-shaped middle toe phalanx,103
Triangular shaped phalanges of the 4th toe,103
Triangular shaped phalanges of the toes,103
Abnormality of the middle phalanges of the toes,103
Curved proximal toe phalanx,103
Tapered toe,103
Tibial deviation of the 3rd toe,103
Curved toe phalanx,103
Abnormality of the 2nd toe,103
Abnormality of the proximal phalanx of the 2nd toe,103
Lower limb peromelia,103
Aplasia/Hypoplasia involving bones of the feet,103
Complete duplication of the phalanges of the 2nd toe,103
Aplasia/Hypoplasia of the tibia,103
Flat occiput,103
Oxycephaly,103
Duplicated collecting system,103
Renal steatosis,103
White lesion of the oral mucosa,103
Erosion of oral mucosa,103
Long upper lip,103
Oral hairy leukoplakia,103
U-Shaped upper lip vermilion,103
Oral lichenoid lesion,103
Abnormal oral mucosa morphology,103
Oral mucosa nodule,103
Oral erythroplakia,103
Parkinsonism with favorable response to dopaminergic medication,103
Upper extremity joint dislocation,104
Lower extremity joint dislocation,104
Recurrent joint dislocation,104
Multiple joint dislocation,104
Joint dislocation,104
Transient unilateral blurring of vision,104
Blurred vision,104
Pseudophakia,104
Microspherophakia,104
Inferior lens subluxation,104
Aphakia,104
Aplasia/Hypoplasia of the lens,104
Blue cone monochromacy,104
Absent foveal reflex,104
Foveal atrophy,104
Ectopic fovea,104
Abnormal foveal morphology,104
Abnormality of the optic nerve,104
Morning glory anomaly,104
Macular dots,104
Vitelliform-like macular lesions,104
Small yellow foveal lesion with surrounding grey zone,104
Macular flecks,104
Macular crystals,104
Placoid macular lesion,104
Macular cotton wool spot,104
Macular drusen,104
Yellow/white lesions of the macula,104
Abnormality of optic chiasm morphology,104
Optic nerve misrouting,104
Optic nerve arteriovenous malformation,104
Marcus Gunn pupil,104
Epiretinal membrane,104
Full-thickness macular hole,104
Macular hole,104
Coarctation of aorta,104
Abdominal aortic aneurysm,104
Long segment coarctation of the aorta,104
Fusiform abdominal aortic aneurysm,104
Coarctation in the transverse aortic arch,104
Asymmetric abdominal aortic aneurysm,104
Coarctation of abdominal aorta,104
Saccular abdominal aortic aneurysm,104
Aortic aneurysm,104
Rectal arteriovenous malformation,104
Colonic arteriovenous malformation,104
Gastrointestinal arteriovenous malformation,104
Duodenal arteriovenous malformation,104
Jejunal arteriovenous malformation,104
Gastric arteriovenous malformation,104
Impaired T cell function,104
Decreased T cell activation,104
Defective T cell proliferation,104
Neoplasm of the pancreas,104
Pancreatoblastoma,104
Pancreatic squamous cell carcinoma,104
Juvenile myelomonocytic leukemia,104
Myeloid leukemia,104
T cell chronic lymphocytic lymphoma/leukemia,104
Lymphoid leukemia,104
Lymphangioma,104
Mediastinal cystic lymphangioma,104
Enlarged pituitary gland,104
Aplasia/Hypoplasia of the clavicles,104
Midclavicular aplasia,104
Partial absence of foot,104
Bullet-shaped proximal phalanx of the 5th toe,104
Triangular shaped distal phalanges of the toes,104
Broad toe,104
Symphalangism affecting the distal phalanges of the toes,104
Duplication of the distal phalanx of the 3rd toe,104
Duplication of the phalanges of the 5th toe,104
Abnormality of the distal phalanx of the 4th toe,104
Complete duplication of the distal phalanx of the 4th toe,104
Curved distal phalanx of the 4th toe,104
Partial duplication of the proximal phalanx of the 5th toe,104
Complete duplication of the proximal phalanx of the 5th toe,104
Aplasia/Hypoplasia of metatarsal bones,104
Triangular shaped phalanges of the hallux,104
Curved distal phalanx of the 2nd toe,104
Bullet-shaped middle phalanx of the 5th toe,104
Curved 5th toe phalanx,104
Slender toe,104
Bullet-shaped distal toe phalanx,104
Complete duplication of the distal phalanx of the 3rd toe,104
Partial duplication of the middle phalanx of the 5th toe,104
Triangular shaped distal phalanx of the 2nd toe,104
Abnormality of the phalanges of the 5th toe,104
Curved middle phalanx of the 4th toe,104
Hallux rigidus,104
Fibular deviation of the 5th toe,104
Aplasia/Hypoplasia of the fifth metatarsal bone,104
Deviation of the hallux,104
Curved proximal phalanx of the 5th toe,104
Partial duplication of the distal phalanx of the 2nd toe,104
Curved distal phalanx of the 3rd toe,104
Abnormality of the distal phalanges of the toes,104
Plantar crease between first and second toes,104
Bullet-shaped distal phalanx of the 5th toe,104
Duplication of distal phalanx of toe,104
Broad 2nd toe,104
Deep longitudinal plantar crease,104
Deep plantar creases,104
Triangular shaped phalanges of the 5th toe,104
Duplication of phalanx of hallux,104
Absent fifth metatarsal,104
Broad 3rd toe,104
Partial duplication of the phalanges of the hallux,104
Deviation of the 5th toe,104
Abnormality of the distal phalanx of the 2nd toe,104
Complete duplication of the distal phalanx of the 2nd toe,104
Metatarsus valgus,104
Proximal placement of hallux,104
Duplication of the proximal phalanx of the 5th toe,104
Symphalangism affecting the phalanges of the toes,104
Tibial deviation of the 5th toe,104
Duplication of the distal phalanx of the 2nd toe,104
Partial duplication of the distal phalanx of the 4th toe,104
Duplication of the middle phalanx of the 5th toe,104
Abnormality of the distal phalanx of the 5th toe,104
Bullet-shaped 5th toe phalanx,104
Bullet-shaped hallux phalanx,104
Complete duplication of hallux phalanx,104
Abnormality of the distal phalanx of the 3rd toe,104
Absent metatarsal bone,104
Symphalangism affecting the proximal phalanges of the toes,104
Curved distal toe phalanx,104
Complete duplication of the middle phalanx of the 5th toe,104
Abnormality of the 5th toe,104
Triangular shaped distal phalanx of the 5th toe,104
Partial duplication of the distal phalanx of the 3rd toe,104
Curved hallux phalanx,104
Abnormality of the phalanges of the hallux,104
Curved middle phalanx of the 5th toe,104
Duplication of the distal phalanx of the 4th toe,104
Abnormality of the proximal phalanx of the 5th toe,104
Bullet-shaped distal phalanx of the 2nd toe,104
Bulbous tips of toes,104
Symphalangism affecting the middle phalanges of the toes,104
Abnormality of the hallux,104
Abnormality of the middle phalanx of the 5th toe,104
Broad 4th toe,104
Abnormality of the humeroradial joint,104
Abnormality of the elbow,104
Stippled calcification of the elbow,104
Increased carrying angle,104
Cubitus varus,104
Large elbow,104
Irregular articular surfaces of the elbow joints,104
Synovial chondromatosis of the elbow,104
Hemiatrophy of upper limb,104
Rudimentary to absent tibiae,104
Mask-like facies,104
Dilatation of renal calices,104
Nephronophthisis,104
Narrow palpebral fissure,104
Abnormality of the tongue,104
Abnormal tongue physiology,104
Tongue pain,104
Narrow nasal bridge,104
Enanthema,104
Accessory oral frenulum,104
Urinary incontinence,104
Stress urinary incontinence,104
Large joint dislocations,105
Acrocyanosis,105
Renal tubular lysine transport defect,105
Renal tubular dysfunction,105
Microphakia,105
Anomalous trichromacy,105
Dichromacy,105
Dyschromatopsia,105
Foveoschisis,105
Optic nerve dysplasia,105
Descending thoracic aorta aneurysm,105
Saccular descending thoracic aortic aneurysm,105
Fusiform descending thoracic aortic aneurysm,105
Thoracic aortic aneurysm,105
Pulmonary arterial atherosclerosis,105
Pulmonary aterial intimal fibrosis,105
Absent pulmonary artery,105
Anomalous origin of right pulmonary artery from ascending aorta,105
Anomalous origin of left pulmonary artery from ascending aorta,105
Abnormal pulmonary artery morphology,105
Pulmonary artery sling,105
Pulmonary arterial medial hypertrophy,105
Anomalous origin of one pulmonary artery from ascending aorta,105
Abnormal immunoglobulin level,105
Renal Fanconi syndrome,105
Chronic myelomonocytic leukemia,105
Chronic leukemia,105
Genital neoplasm,105
Fallopian tube carcinoma,105
Vulvar melanoma,105
Bartholin gland carcinoma,105
Esophageal carcinoma,105
Vulvar adenocarcinoma,105
Vulvar neoplasm,105
Absent sternal ossification,105
Punctate periventricular T2 hyperintense foci,105
Narrow nose,105
Progressive vitiligo,105
Vitiligo,105
Xerostomia,105
Absent foot,105
Aplasia/Hypoplasia of the 2nd toe,105
Curved distal phalanx of the hallux,105
Complete duplication of the distal phalanx of the hallux,105
Aplasia/Hypoplasia of the 4th toe,105
Partial duplication of the proximal phalanx of the hallux,105
Aplasia/Hypoplasia of the 3rd toe,105
Partial duplication of the distal phalanx of the 5th toe,105
Bullet-shaped proximal phalanx of the hallux,105
Triangular shaped distal phalanx of the hallux,105
Curved distal phalanx of the 5th toe,105
Broad 5th toe,105
Aplasia/Hypoplasia of toe,105
Complete duplication of the distal phalanx of the 5th toe,105
Triangular shaped proximal phalanx of the hallux,105
Curved proximal phalanx of the hallux,105
Abnormality of the proximal phalanx of the hallux,105
Duplication of the proximal phalanx of the hallux,105
Absent toe,105
Duplication of the distal phalanx of the hallux,105
Duplication of the distal phalanx of the 5th toe,105
Abnormality of the distal phalanx of the hallux,105
Complete duplication of the proximal phalanx of the hallux,105
Increased bone mineral density,105
Narrow joint spaces of the elbow,105
Abnormality of the joint spaces of the elbow,105
Narrow joint spaces of wrist,105
Abnormality of the wrist,105
Wrist swelling,105
Decreased carpal angles of wrist,105
Increased bone density with cystic changes,105
Glomerulosclerosis,105
Global glomerulosclerosis,105
Metrorrhagia,105
Entropion,105
Upper eyelid entropion,105
Cicatricial entropion,105
Mechanical entropion,105
Involutional entropion,105
Periauricular skin pits,105
Hypomimic face,105
Short lingual frenulum,105
Reticulate pigmentation of oral mucosa,105
Abnormal pigmentation of the oral mucosa,105
Bradykinesia,105
Displacement of the external urethral meatus,105
Diffuse cerebral atrophy,106
Synostosis involving bones of the hand,106
Abnormal morphology of ulna,106
Impaired histidine renal tubular absorption,106
Tritanomaly,106
Amaurosis fugax,106
Leber optic atrophy,106
Vitreous strands,106
Vitreous floaters,106
Coronary artery atherosclerosis,106
Fusiform ascending tubular aorta aneurysm,106
Post-angioplasty coronary artery restenosis,106
Nonocclusive coronary artery atherosclerosis,106
Ascending tubular aorta aneurysm,106
Pulmonary artery hypoplasia,106
Pulmonary artery dilatation,106
Aplastic/hypoplastic toenail,106
Chronic lymphatic leukemia,106
Lymphoma,106
Squamous cell carcinoma of the vulva,106
Cerebellar vermis atrophy,106
Impaired visuospatial constructive cognition,106
Dyscalculia,106
Triangular shaped 1st metatarsal,106
Bullet-shaped distal phalanx of the hallux,106
Partial absence of toe,106
Absent first metatarsal,106
Aplasia/Hypoplasia of the phalanges of the 3rd toe,106
Aplasia of the proximal phalanges of the toes,106
Aplasia/Hypoplasia of the 5th toe,106
Aplasia of the phalanges of the toes,106
Aplasia/Hypoplasia of the tarsal bones,106
Small toe,106
Aplasia/hypoplasia of proximal toe phalanx,106
Aplasia/Hypoplasia of the middle phalanges of the toes,106
Aplasia/Hypoplasia of the phalanges of the 4th toe,106
Partial duplication of the 1st metatarsal,106
Aplasia/Hypoplasia of the phalanges of the toes,106
Aplasia/Hypoplasia of the phalanges of the 2nd toe,106
Aplasia of the tarsal bones,106
Hypoplasia of the phalanges of the toes,106
Sclerosis of the carpal bones,106
Irregular sclerosis of hand bones,106
Sclerosis of hand bones with transverse striations,106
Patchy sclerosis of hand bones,106
Sclerotic foci in hand bones,106
Sclerosis of hand bone,106
Sclerosis of foot bone,106
Abnormality of the humeroulnar joint,106
Abnormal pelvis bone ossification,106
Abnormal humeral ossification,106
Ulnar deviation of the wrist,106
Patchy osteosclerosis,106
Aplasia/Hypoplasia of the patella,106
Fibular aplasia,106
Absent tibia,106
Wide humeral diaphysis,106
Slender humeral diaphysis,106
Prominent deltoid tuberosities,106
Lytic defects of humeral diaphysis,106
Ground glass opacity of humeral diaphysis,106
Sclerotic foci of humeral diaphysis,106
Abnormality of the deltoid tuberosities,106
Abnormality of the humeral diaphysis,106
Ankyloblepharon,106
Supraauricular pit,106
Postauricular pit,106
Stiff tongue,106
Duplicated tongue,106
Geographic tongue,106
Posteriorly placed tongue,106
Abnormal tongue morphology,106
Strawberry tongue,106
Tessier number 6 facial cleft,106
Everted upper lip vermilion,106
Transverse facial cleft,106
Oral synechia,106
Intra-oral hyperpigmentation,106
Tessier number 7 facial cleft,106
Tessier number 8 facial cleft,106
Dermal atrophy,106
Anteriorly displaced urethral meatus,106
Sparse hair,106
